run_date,seed,target,train_end,validation_end,test_end,maturity_rule,half_life_days,best_epoch,validation_pr_auc,parameter_count,model,cohort,review_fraction,sample_count,positive_count,prevalence,pr_auc,roc_auc,top_k,precision_at_k,recall_at_k,source
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,13,0.197576267,5313,root_only_neural,test_all,0.05,10554,222,0.021034679,0.034682810,0.648656496,528,0.020833333,0.049549550,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,13,0.197576267,5313,root_only_neural,test_seen,0.05,8119,166,0.020445868,0.036390823,0.674081464,406,0.004926108,0.012048193,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,13,0.197576267,5313,root_only_neural,test_cold_start,0.05,2435,56,0.022997947,0.036876987,0.589315739,122,0.057377049,0.125000000,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,21,0.252273660,5313,root_only_neural,test_all,0.05,10554,222,0.021034679,0.035790696,0.654461517,528,0.015151515,0.036036036,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,21,0.252273660,5313,root_only_neural,test_seen,0.05,8119,166,0.020445868,0.040750109,0.691840163,406,0.012315271,0.030120482,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,21,0.252273660,5313,root_only_neural,test_cold_start,0.05,2435,56,0.022997947,0.029578349,0.565213475,122,0.024590164,0.053571429,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,22,0.194455211,5313,root_only_neural,test_all,0.05,10554,222,0.021034679,0.036078171,0.653475121,528,0.018939394,0.045045045,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,22,0.194455211,5313,root_only_neural,test_seen,0.05,8119,166,0.020445868,0.038938536,0.682928621,406,0.004926108,0.012048193,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,22,0.194455211,5313,root_only_neural,test_cold_start,0.05,2435,56,0.022997947,0.037142025,0.585405032,122,0.057377049,0.125000000,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,7,0.238702186,5313,root_only_neural,test_all,0.05,10554,222,0.021034679,0.034904388,0.644620666,528,0.011363636,0.027027027,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,7,0.238702186,5313,root_only_neural,test_seen,0.05,8119,166,0.020445868,0.038108895,0.672956632,406,0.004926108,0.012048193,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,7,0.238702186,5313,root_only_neural,test_cold_start,0.05,2435,56,0.022997947,0.031190581,0.568343542,122,0.024590164,0.053571429,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,29,0.188722953,5313,root_only_neural,test_all,0.05,10554,222,0.021034679,0.033046742,0.643162326,528,0.003787879,0.009009009,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,29,0.188722953,5313,root_only_neural,test_seen,0.05,8119,166,0.020445868,0.037827596,0.683915594,406,0.002463054,0.006024096,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,29,0.188722953,5313,root_only_neural,test_cold_start,0.05,2435,56,0.022997947,0.027837741,0.553864169,122,0.008196721,0.017857143,notebooks/02_project/06_temporal_role_gnn.ipynb
