fold,train_end,validation_end,test_end,model,cohort,run_count,mean_pr_auc,sample_std,minimum,maximum,sample_count,positive_count,prevalence
1,2015-04-01,2016-04-01,2017-04-01,point_in_time_lightgbm,test_all,1,0.007297227,,0.007297227,0.007297227,6604,27,0.004088431
1,2015-04-01,2016-04-01,2017-04-01,point_in_time_lightgbm,test_seen,1,0.008943006,,0.008943006,0.008943006,3245,12,0.003697997
1,2015-04-01,2016-04-01,2017-04-01,point_in_time_lightgbm,test_cold_start,1,0.006591786,,0.006591786,0.006591786,3359,15,0.004465615
1,2015-04-01,2016-04-01,2017-04-01,root_only_neural,test_all,5,0.008322675,0.005494657,0.004302405,0.017654658,6604,27,0.004088431
1,2015-04-01,2016-04-01,2017-04-01,root_only_neural,test_seen,5,0.010654731,0.006688011,0.006100958,0.022149567,3245,12,0.003697997
1,2015-04-01,2016-04-01,2017-04-01,root_only_neural,test_cold_start,5,0.010470416,0.007167938,0.003926733,0.022034290,3359,15,0.004465615
1,2015-04-01,2016-04-01,2017-04-01,temporal_role_gnn,test_all,5,0.011739400,0.017700422,0.003631462,0.043402221,6604,27,0.004088431
1,2015-04-01,2016-04-01,2017-04-01,temporal_role_gnn,test_seen,5,0.006145945,0.004364060,0.002916514,0.013715741,3245,12,0.003697997
1,2015-04-01,2016-04-01,2017-04-01,temporal_role_gnn,test_cold_start,5,0.017971040,0.029934885,0.003511633,0.071504680,3359,15,0.004465615
2,2016-04-01,2017-04-01,2018-04-01,point_in_time_lightgbm,test_all,1,0.120064918,,0.120064918,0.120064918,21556,2106,0.097699017
2,2016-04-01,2017-04-01,2018-04-01,point_in_time_lightgbm,test_seen,1,0.157310441,,0.157310441,0.157310441,6337,1028,0.162221872
2,2016-04-01,2017-04-01,2018-04-01,point_in_time_lightgbm,test_cold_start,1,0.119104366,,0.119104366,0.119104366,15219,1078,0.070832512
2,2016-04-01,2017-04-01,2018-04-01,root_only_neural,test_all,5,0.093879359,0.040958196,0.067445418,0.164070698,21556,2106,0.097699017
2,2016-04-01,2017-04-01,2018-04-01,root_only_neural,test_seen,5,0.138039295,0.034085661,0.109834912,0.190328057,6337,1028,0.162221872
2,2016-04-01,2017-04-01,2018-04-01,root_only_neural,test_cold_start,5,0.076505755,0.038627229,0.052219244,0.143000216,15219,1078,0.070832512
2,2016-04-01,2017-04-01,2018-04-01,temporal_role_gnn,test_all,5,0.118581848,0.045743962,0.065260727,0.179022330,21556,2106,0.097699017
2,2016-04-01,2017-04-01,2018-04-01,temporal_role_gnn,test_seen,5,0.194340295,0.071401589,0.116920612,0.264707963,6337,1028,0.162221872
2,2016-04-01,2017-04-01,2018-04-01,temporal_role_gnn,test_cold_start,5,0.091760195,0.038793302,0.049531155,0.143750897,15219,1078,0.070832512
