fold,train_end,validation_end,decay,half_life_days,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,current_180d,180,7,4,0.189588461,9217
1,2015-04-01,2016-04-01,current_180d,180,19,96,0.134054736,9217
1,2015-04-01,2016-04-01,current_180d,180,42,64,0.140565066,9217
1,2015-04-01,2016-04-01,current_180d,180,73,2,0.142177185,9217
1,2015-04-01,2016-04-01,current_180d,180,101,49,0.111525507,9217
1,2015-04-01,2016-04-01,long_365d,365,7,4,0.174148860,9217
1,2015-04-01,2016-04-01,long_365d,365,19,97,0.131094648,9217
1,2015-04-01,2016-04-01,long_365d,365,42,64,0.137806331,9217
1,2015-04-01,2016-04-01,long_365d,365,73,1,0.139962891,9217
1,2015-04-01,2016-04-01,long_365d,365,101,49,0.110322538,9217
1,2015-04-01,2016-04-01,no_decay,,7,5,0.163271316,9217
1,2015-04-01,2016-04-01,no_decay,,19,65,0.117558414,9217
1,2015-04-01,2016-04-01,no_decay,,42,62,0.136781768,9217
1,2015-04-01,2016-04-01,no_decay,,73,1,0.139774495,9217
1,2015-04-01,2016-04-01,no_decay,,101,49,0.105835121,9217
1,2015-04-01,2016-04-01,short_60d,60,7,3,0.282431401,9217
1,2015-04-01,2016-04-01,short_60d,60,19,107,0.151362846,9217
1,2015-04-01,2016-04-01,short_60d,60,42,62,0.146545279,9217
1,2015-04-01,2016-04-01,short_60d,60,73,2,0.156970425,9217
1,2015-04-01,2016-04-01,short_60d,60,101,42,0.112433651,9217
2,2016-04-01,2017-04-01,current_180d,180,7,1,0.008424395,10177
2,2016-04-01,2017-04-01,current_180d,180,19,3,0.005240012,10177
2,2016-04-01,2017-04-01,current_180d,180,42,1,0.004165002,10177
2,2016-04-01,2017-04-01,current_180d,180,73,3,0.044078711,10177
2,2016-04-01,2017-04-01,current_180d,180,101,6,0.009467697,10177
2,2016-04-01,2017-04-01,long_365d,365,7,2,0.036049381,10177
2,2016-04-01,2017-04-01,long_365d,365,19,9,0.009299289,10177
2,2016-04-01,2017-04-01,long_365d,365,42,1,0.004132854,10177
2,2016-04-01,2017-04-01,long_365d,365,73,3,0.045325626,10177
2,2016-04-01,2017-04-01,long_365d,365,101,2,0.006884266,10177
2,2016-04-01,2017-04-01,no_decay,,7,4,0.061906500,10177
2,2016-04-01,2017-04-01,no_decay,,19,9,0.012129717,10177
2,2016-04-01,2017-04-01,no_decay,,42,3,0.004129432,10177
2,2016-04-01,2017-04-01,no_decay,,73,3,0.045234274,10177
2,2016-04-01,2017-04-01,no_decay,,101,1,0.005410941,10177
2,2016-04-01,2017-04-01,short_60d,60,7,67,0.004461517,10177
2,2016-04-01,2017-04-01,short_60d,60,19,24,0.005296350,10177
2,2016-04-01,2017-04-01,short_60d,60,42,5,0.004496526,10177
2,2016-04-01,2017-04-01,short_60d,60,73,1,0.041273359,10177
2,2016-04-01,2017-04-01,short_60d,60,101,10,0.045342954,10177
