run_date,seed,target,train_end,validation_end,test_end,maturity_rule,half_life_days,best_epoch,validation_pr_auc,parameter_count,model,cohort,review_fraction,sample_count,positive_count,prevalence,pr_auc,roc_auc,top_k,precision_at_k,recall_at_k,source
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.216433974,10177,temporal_role_gnn,test_all,0.05,10554,222,0.021034679,0.039853237,0.668430190,528,0.045454545,0.108108108,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.216433974,10177,temporal_role_gnn,test_seen,0.05,8119,166,0.020445868,0.047734196,0.703742923,406,0.054187192,0.132530120,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,7,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.216433974,10177,temporal_role_gnn,test_cold_start,0.05,2435,56,0.022997947,0.027085032,0.579482676,122,0.000000000,0.000000000,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,2,0.179155632,10177,temporal_role_gnn,test_all,0.05,10554,222,0.021034679,0.022936931,0.564678136,528,0.005681818,0.013513514,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,2,0.179155632,10177,temporal_role_gnn,test_seen,0.05,8119,166,0.020445868,0.023602801,0.578794241,406,0.002463054,0.006024096,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,19,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,2,0.179155632,10177,temporal_role_gnn,test_cold_start,0.05,2435,56,0.022997947,0.021971282,0.501677626,122,0.000000000,0.000000000,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.129069842,10177,temporal_role_gnn,test_all,0.05,10554,222,0.021034679,0.033965219,0.657427244,528,0.005681818,0.013513514,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.129069842,10177,temporal_role_gnn,test_seen,0.05,8119,166,0.020445868,0.040620745,0.696233065,406,0.004926108,0.012048193,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,36,0.129069842,10177,temporal_role_gnn,test_cold_start,0.05,2435,56,0.022997947,0.025347254,0.546020237,122,0.008196721,0.017857143,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,139,0.215074879,10177,temporal_role_gnn,test_all,0.05,10554,222,0.021034679,0.105087543,0.792186132,528,0.136363636,0.324324324,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,139,0.215074879,10177,temporal_role_gnn,test_seen,0.05,8119,166,0.020445868,0.134756735,0.856164378,406,0.167487685,0.409638554,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,73,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,139,0.215074879,10177,temporal_role_gnn,test_cold_start,0.05,2435,56,0.022997947,0.019359148,0.441369423,122,0.000000000,0.000000000,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,66,0.130380443,10177,temporal_role_gnn,test_all,0.05,10554,222,0.021034679,0.062867319,0.721567168,528,0.121212121,0.288288288,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,66,0.130380443,10177,temporal_role_gnn,test_seen,0.05,8119,166,0.020445868,0.078486306,0.780818105,406,0.140394089,0.343373494,notebooks/02_project/06_temporal_role_gnn.ipynb
2026-08-02,101,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,180,66,0.130380443,10177,temporal_role_gnn,test_cold_start,0.05,2435,56,0.022997947,0.020788029,0.469810244,122,0.000000000,0.000000000,notebooks/02_project/06_temporal_role_gnn.ipynb
