fold,train_end,validation_end,aggregation,max_recent_events,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,all_history,,7,4,0.189588461,9217
1,2015-04-01,2016-04-01,all_history,,19,96,0.134054736,9217
1,2015-04-01,2016-04-01,all_history,,42,64,0.140565066,9217
1,2015-04-01,2016-04-01,all_history,,73,2,0.142177185,9217
1,2015-04-01,2016-04-01,all_history,,101,49,0.111525507,9217
1,2015-04-01,2016-04-01,recent_k8,8,7,1,0.294567754,9217
1,2015-04-01,2016-04-01,recent_k8,8,19,107,0.142721910,9217
1,2015-04-01,2016-04-01,recent_k8,8,42,34,0.152005192,9217
1,2015-04-01,2016-04-01,recent_k8,8,73,2,0.168769406,9217
1,2015-04-01,2016-04-01,recent_k8,8,101,45,0.120386054,9217
2,2016-04-01,2017-04-01,all_history,,7,1,0.008424395,10177
2,2016-04-01,2017-04-01,all_history,,19,3,0.005240012,10177
2,2016-04-01,2017-04-01,all_history,,42,1,0.004165002,10177
2,2016-04-01,2017-04-01,all_history,,73,3,0.044078711,10177
2,2016-04-01,2017-04-01,all_history,,101,6,0.009467697,10177
2,2016-04-01,2017-04-01,recent_k8,8,7,56,0.004206846,10177
2,2016-04-01,2017-04-01,recent_k8,8,19,64,0.008616208,10177
2,2016-04-01,2017-04-01,recent_k8,8,42,60,0.012400473,10177
2,2016-04-01,2017-04-01,recent_k8,8,73,1,0.012299391,10177
2,2016-04-01,2017-04-01,recent_k8,8,101,7,0.016932620,10177
