fold,train_end,validation_end,relation_mode,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,separate,7,4,0.189588461,9217
1,2015-04-01,2016-04-01,separate,19,96,0.134054736,9217
1,2015-04-01,2016-04-01,separate,42,64,0.140565066,9217
1,2015-04-01,2016-04-01,separate,73,2,0.142177185,9217
1,2015-04-01,2016-04-01,separate,101,49,0.111525507,9217
1,2015-04-01,2016-04-01,shared,7,2,0.104653143,6145
1,2015-04-01,2016-04-01,shared,19,62,0.111805079,6145
1,2015-04-01,2016-04-01,shared,42,13,0.147851493,6145
1,2015-04-01,2016-04-01,shared,73,6,0.169486379,6145
1,2015-04-01,2016-04-01,shared,101,2,0.152961402,6145
2,2016-04-01,2017-04-01,separate,7,1,0.008424395,10177
2,2016-04-01,2017-04-01,separate,19,3,0.005240012,10177
2,2016-04-01,2017-04-01,separate,42,1,0.004165002,10177
2,2016-04-01,2017-04-01,separate,73,3,0.044078711,10177
2,2016-04-01,2017-04-01,separate,101,6,0.009467697,10177
2,2016-04-01,2017-04-01,shared,7,51,0.012997481,6529
2,2016-04-01,2017-04-01,shared,19,80,0.022724935,6529
2,2016-04-01,2017-04-01,shared,42,1,0.010155056,6529
2,2016-04-01,2017-04-01,shared,73,112,0.039057378,6529
2,2016-04-01,2017-04-01,shared,101,61,0.012626308,6529
