fold,seed,best_epoch,validation_pr_auc,cohort,pr_auc,roc_auc,precision_at_k,recall_at_k
1,7,11,0.319463554,test_all,0.029639915,0.577176918,0.015105740,0.185185185
1,7,11,0.319463554,test_seen,0.063500835,0.683214764,0.030674847,0.416666667
1,7,11,0.319463554,test_cold_start,0.005228605,0.486572967,0.000000000,0.000000000
1,19,13,0.299323352,test_all,0.005818205,0.610536719,0.000000000,0.000000000
1,19,13,0.299323352,test_seen,0.007131012,0.693834416,0.000000000,0.000000000
1,19,13,0.299323352,test_cold_start,0.005911907,0.541257974,0.000000000,0.000000000
1,42,49,0.301214329,test_all,0.022291936,0.569433886,0.015105740,0.185185185
1,42,49,0.301214329,test_seen,0.060837121,0.692030106,0.030674847,0.416666667
1,42,49,0.301214329,test_cold_start,0.004362387,0.442992424,0.000000000,0.000000000
1,73,24,0.305070788,test_all,0.004226496,0.537380546,0.000000000,0.000000000
1,73,24,0.305070788,test_seen,0.004628430,0.590344365,0.000000000,0.000000000
1,73,24,0.305070788,test_cold_start,0.004425448,0.487430223,0.000000000,0.000000000
1,101,15,0.283039909,test_all,0.017760826,0.591525462,0.018126888,0.222222222
1,101,15,0.283039909,test_seen,0.034416003,0.702082689,0.030674847,0.416666667
1,101,15,0.283039909,test_cold_start,0.005301846,0.495324960,0.005952381,0.066666667
2,7,5,0.048274711,test_all,0.073779912,0.334761069,0.057513915,0.029439696
2,7,5,0.048274711,test_seen,0.124943797,0.351067089,0.091482650,0.028210117
2,7,5,0.048274711,test_cold_start,0.057065318,0.353569451,0.042049934,0.029684601
2,19,24,0.016516671,test_all,0.101236408,0.543893979,0.051020408,0.026115859
2,19,24,0.016516671,test_seen,0.175283064,0.560911725,0.097791798,0.030155642
2,19,24,0.016516671,test_cold_start,0.081088412,0.578116417,0.035479632,0.025046382
2,42,5,0.008748294,test_all,0.091792713,0.462331117,0.055658627,0.028490028
2,42,5,0.008748294,test_seen,0.145280283,0.444468610,0.088328076,0.027237354
2,42,5,0.008748294,test_cold_start,0.071558013,0.487136478,0.042049934,0.029684601
2,73,1,0.004211611,test_all,0.087216242,0.475686776,0.060296846,0.030864198
2,73,1,0.004211611,test_seen,0.139732233,0.461649259,0.104100946,0.032101167
2,73,1,0.004211611,test_cold_start,0.066672901,0.494665245,0.039421813,0.027829314
2,101,5,0.023761638,test_all,0.079447602,0.438667401,0.053803340,0.027540361
2,101,5,0.023761638,test_seen,0.145118077,0.484695708,0.091482650,0.028210117
2,101,5,0.023761638,test_cold_start,0.060231705,0.463452698,0.032851511,0.023191095
