fold,train_end,validation_end,variant,hidden_channels,dropout,weight_decay,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,wide_current,64,0.2,0.0001,7,11,0.319463554,39430
1,2015-04-01,2016-04-01,wide_current,64,0.2,0.0001,19,13,0.299323352,39430
1,2015-04-01,2016-04-01,wide_current,64,0.2,0.0001,42,49,0.301214329,39430
1,2015-04-01,2016-04-01,wide_current,64,0.2,0.0001,73,24,0.305070788,39430
1,2015-04-01,2016-04-01,wide_current,64,0.2,0.0001,101,15,0.283039909,39430
1,2015-04-01,2016-04-01,compact_current,32,0.2,0.0001,7,50,0.277202033,10502
1,2015-04-01,2016-04-01,compact_current,32,0.2,0.0001,19,2,0.265074192,10502
1,2015-04-01,2016-04-01,compact_current,32,0.2,0.0001,42,17,0.280581882,10502
1,2015-04-01,2016-04-01,compact_current,32,0.2,0.0001,73,52,0.285873363,10502
1,2015-04-01,2016-04-01,compact_current,32,0.2,0.0001,101,1,0.346993467,10502
1,2015-04-01,2016-04-01,wide_strong_reg,64,0.35,0.001,7,16,0.331874126,39430
1,2015-04-01,2016-04-01,wide_strong_reg,64,0.35,0.001,19,16,0.295011021,39430
1,2015-04-01,2016-04-01,wide_strong_reg,64,0.35,0.001,42,38,0.286210134,39430
1,2015-04-01,2016-04-01,wide_strong_reg,64,0.35,0.001,73,1,0.267345277,39430
1,2015-04-01,2016-04-01,wide_strong_reg,64,0.35,0.001,101,16,0.278135446,39430
1,2015-04-01,2016-04-01,compact_strong_reg,32,0.35,0.001,7,71,0.280431438,10502
1,2015-04-01,2016-04-01,compact_strong_reg,32,0.35,0.001,19,1,0.262920792,10502
1,2015-04-01,2016-04-01,compact_strong_reg,32,0.35,0.001,42,11,0.283838496,10502
1,2015-04-01,2016-04-01,compact_strong_reg,32,0.35,0.001,73,38,0.296174940,10502
1,2015-04-01,2016-04-01,compact_strong_reg,32,0.35,0.001,101,1,0.342865187,10502
2,2016-04-01,2017-04-01,wide_current,64,0.2,0.0001,7,5,0.048274711,39814
2,2016-04-01,2017-04-01,wide_current,64,0.2,0.0001,19,24,0.016516671,39814
2,2016-04-01,2017-04-01,wide_current,64,0.2,0.0001,42,5,0.008748294,39814
2,2016-04-01,2017-04-01,wide_current,64,0.2,0.0001,73,1,0.004211611,39814
2,2016-04-01,2017-04-01,wide_current,64,0.2,0.0001,101,5,0.023761638,39814
2,2016-04-01,2017-04-01,compact_current,32,0.2,0.0001,7,6,0.005574108,10694
2,2016-04-01,2017-04-01,compact_current,32,0.2,0.0001,19,30,0.017784652,10694
2,2016-04-01,2017-04-01,compact_current,32,0.2,0.0001,42,1,0.002787585,10694
2,2016-04-01,2017-04-01,compact_current,32,0.2,0.0001,73,6,0.004954507,10694
2,2016-04-01,2017-04-01,compact_current,32,0.2,0.0001,101,4,0.005247080,10694
2,2016-04-01,2017-04-01,wide_strong_reg,64,0.35,0.001,7,4,0.094058773,39814
2,2016-04-01,2017-04-01,wide_strong_reg,64,0.35,0.001,19,24,0.009328132,39814
2,2016-04-01,2017-04-01,wide_strong_reg,64,0.35,0.001,42,9,0.010047970,39814
2,2016-04-01,2017-04-01,wide_strong_reg,64,0.35,0.001,73,1,0.004096612,39814
2,2016-04-01,2017-04-01,wide_strong_reg,64,0.35,0.001,101,12,0.022192522,39814
2,2016-04-01,2017-04-01,compact_strong_reg,32,0.35,0.001,7,5,0.005383270,10694
2,2016-04-01,2017-04-01,compact_strong_reg,32,0.35,0.001,19,20,0.008719064,10694
2,2016-04-01,2017-04-01,compact_strong_reg,32,0.35,0.001,42,65,0.003800339,10694
2,2016-04-01,2017-04-01,compact_strong_reg,32,0.35,0.001,73,4,0.004580018,10694
2,2016-04-01,2017-04-01,compact_strong_reg,32,0.35,0.001,101,4,0.004929257,10694
