fold,train_end,validation_end,fusion,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,residual,7,11,0.319463554,39430
1,2015-04-01,2016-04-01,residual,19,13,0.299323352,39430
1,2015-04-01,2016-04-01,residual,42,49,0.301214329,39430
1,2015-04-01,2016-04-01,residual,73,24,0.305070788,39430
1,2015-04-01,2016-04-01,residual,101,15,0.283039909,39430
1,2015-04-01,2016-04-01,coverage_gate,7,18,0.463315717,39430
1,2015-04-01,2016-04-01,coverage_gate,19,13,0.300941374,39430
1,2015-04-01,2016-04-01,coverage_gate,42,7,0.485874542,39430
1,2015-04-01,2016-04-01,coverage_gate,73,78,0.461390354,39430
1,2015-04-01,2016-04-01,coverage_gate,101,99,0.424640465,39430
2,2016-04-01,2017-04-01,residual,7,5,0.048274711,39814
2,2016-04-01,2017-04-01,residual,19,24,0.016516671,39814
2,2016-04-01,2017-04-01,residual,42,5,0.008748294,39814
2,2016-04-01,2017-04-01,residual,73,1,0.004211611,39814
2,2016-04-01,2017-04-01,residual,101,5,0.023761638,39814
2,2016-04-01,2017-04-01,coverage_gate,7,5,0.006218024,39814
2,2016-04-01,2017-04-01,coverage_gate,19,1,0.005327390,39814
2,2016-04-01,2017-04-01,coverage_gate,42,1,0.007522755,39814
2,2016-04-01,2017-04-01,coverage_gate,73,2,0.004530983,39814
2,2016-04-01,2017-04-01,coverage_gate,101,2,0.027129540,39814
