fold,train_end,validation_end,max_events,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,2,7,42,0.348743757,39430
1,2015-04-01,2016-04-01,2,19,21,0.339162190,39430
1,2015-04-01,2016-04-01,2,42,4,0.309317084,39430
1,2015-04-01,2016-04-01,2,73,2,0.311976208,39430
1,2015-04-01,2016-04-01,2,101,15,0.341296736,39430
1,2015-04-01,2016-04-01,4,7,11,0.330981066,39430
1,2015-04-01,2016-04-01,4,19,18,0.295191443,39430
1,2015-04-01,2016-04-01,4,42,56,0.307019480,39430
1,2015-04-01,2016-04-01,4,73,66,0.326688846,39430
1,2015-04-01,2016-04-01,4,101,57,0.313989977,39430
1,2015-04-01,2016-04-01,8,7,11,0.319463554,39430
1,2015-04-01,2016-04-01,8,19,13,0.299323352,39430
1,2015-04-01,2016-04-01,8,42,49,0.301214329,39430
1,2015-04-01,2016-04-01,8,73,24,0.305070788,39430
1,2015-04-01,2016-04-01,8,101,15,0.283039909,39430
1,2015-04-01,2016-04-01,16,7,5,0.311876621,39430
1,2015-04-01,2016-04-01,16,19,25,0.299375764,39430
1,2015-04-01,2016-04-01,16,42,39,0.288667050,39430
1,2015-04-01,2016-04-01,16,73,20,0.306595392,39430
1,2015-04-01,2016-04-01,16,101,34,0.275386270,39430
2,2016-04-01,2017-04-01,2,7,3,0.009391502,39814
2,2016-04-01,2017-04-01,2,19,1,0.006072544,39814
2,2016-04-01,2017-04-01,2,42,5,0.006891235,39814
2,2016-04-01,2017-04-01,2,73,32,0.006808079,39814
2,2016-04-01,2017-04-01,2,101,24,0.005204669,39814
2,2016-04-01,2017-04-01,4,7,4,0.016440957,39814
2,2016-04-01,2017-04-01,4,19,35,0.039564942,39814
2,2016-04-01,2017-04-01,4,42,5,0.007813736,39814
2,2016-04-01,2017-04-01,4,73,48,0.005891276,39814
2,2016-04-01,2017-04-01,4,101,11,0.006347431,39814
2,2016-04-01,2017-04-01,8,7,5,0.048274711,39814
2,2016-04-01,2017-04-01,8,19,24,0.016516671,39814
2,2016-04-01,2017-04-01,8,42,5,0.008748294,39814
2,2016-04-01,2017-04-01,8,73,1,0.004211611,39814
2,2016-04-01,2017-04-01,8,101,5,0.023761638,39814
2,2016-04-01,2017-04-01,16,7,5,0.021738393,39814
2,2016-04-01,2017-04-01,16,19,23,0.014553941,39814
2,2016-04-01,2017-04-01,16,42,5,0.013950008,39814
2,2016-04-01,2017-04-01,16,73,23,0.009015740,39814
2,2016-04-01,2017-04-01,16,101,1,0.028019658,39814
