fold,train_end,validation_end,time_encoding,fixed_half_life_days,seed,best_epoch,validation_pr_auc,parameter_count
1,2015-04-01,2016-04-01,learned,,7,11,0.319463554,39361
1,2015-04-01,2016-04-01,learned,,19,13,0.299323352,39361
1,2015-04-01,2016-04-01,learned,,42,49,0.301214329,39361
1,2015-04-01,2016-04-01,learned,,73,24,0.305070788,39361
1,2015-04-01,2016-04-01,learned,,101,15,0.283039909,39361
1,2015-04-01,2016-04-01,fixed_decay,180,7,11,0.318381937,39361
1,2015-04-01,2016-04-01,fixed_decay,180,19,30,0.301686132,39361
1,2015-04-01,2016-04-01,fixed_decay,180,42,49,0.290138948,39361
1,2015-04-01,2016-04-01,fixed_decay,180,73,63,0.335860351,39361
1,2015-04-01,2016-04-01,fixed_decay,180,101,15,0.277119184,39361
1,2015-04-01,2016-04-01,none,,7,11,0.318239388,39361
1,2015-04-01,2016-04-01,none,,19,29,0.300218506,39361
1,2015-04-01,2016-04-01,none,,42,44,0.291424747,39361
1,2015-04-01,2016-04-01,none,,73,39,0.295442955,39361
1,2015-04-01,2016-04-01,none,,101,14,0.278609319,39361
2,2016-04-01,2017-04-01,learned,,7,5,0.048274711,39745
2,2016-04-01,2017-04-01,learned,,19,24,0.016516671,39745
2,2016-04-01,2017-04-01,learned,,42,5,0.008748294,39745
2,2016-04-01,2017-04-01,learned,,73,1,0.004211611,39745
2,2016-04-01,2017-04-01,learned,,101,5,0.023761638,39745
2,2016-04-01,2017-04-01,fixed_decay,180,7,6,0.051784627,39745
2,2016-04-01,2017-04-01,fixed_decay,180,19,3,0.006092500,39745
2,2016-04-01,2017-04-01,fixed_decay,180,42,6,0.008594928,39745
2,2016-04-01,2017-04-01,fixed_decay,180,73,31,0.013112638,39745
2,2016-04-01,2017-04-01,fixed_decay,180,101,7,0.020070396,39745
2,2016-04-01,2017-04-01,none,,7,6,0.051072984,39745
2,2016-04-01,2017-04-01,none,,19,3,0.006086455,39745
2,2016-04-01,2017-04-01,none,,42,6,0.008669732,39745
2,2016-04-01,2017-04-01,none,,73,19,0.011527930,39745
2,2016-04-01,2017-04-01,none,,101,7,0.020071328,39745
